date,cases,deaths
1/21/2020,1,0
1/22/2020,1,0
1/23/2020,1,0
1/24/2020,2,0
1/25/2020,3,0
1/26/2020,5,0
1/27/2020,5,0
1/28/2020,5,0
1/29/2020,5,0
1/30/2020,6,0
1/31/2020,7,0
2/1/2020,8,0
2/2/2020,11,0
2/3/2020,11,0
2/4/2020,11,0
2/5/2020,12,0
2/6/2020,12,0
2/7/2020,12,0
2/8/2020,12,0
2/9/2020,12,0
2/10/2020,13,0
2/11/2020,13,0
2/12/2020,14,0
2/13/2020,15,0
2/14/2020,15,0
2/15/2020,15,0
2/16/2020,15,0
2/17/2020,25,0
2/18/2020,25,0
2/19/2020,25,0
2/20/2020,27,0
2/21/2020,30,0
2/22/2020,30,0
2/23/2020,30,0
2/24/2020,43,0
2/25/2020,45,0
2/26/2020,60,0
2/27/2020,60,0
2/28/2020,65,0
2/29/2020,70,1
3/1/2020,88,3
3/2/2020,104,6
3/3/2020,125,10
3/4/2020,161,12
3/5/2020,228,12
3/6/2020,311,15
3/7/2020,428,19
3/8/2020,547,22
3/9/2020,748,26
3/10/2020,1018,31
3/11/2020,1263,37
3/12/2020,1668,43
3/13/2020,2224,50
3/14/2020,2898,60
3/15/2020,3600,68
3/16/2020,4507,91
3/17/2020,5905,116
3/18/2020,8345,157
3/19/2020,12413,203
3/20/2020,17996,265
3/21/2020,24532,343
3/22/2020,33061,436
3/23/2020,43499,546
3/24/2020,53938,731
3/25/2020,68537,990
3/26/2020,85533,1275
3/27/2020,102766,1649
3/28/2020,123619,2134
3/29/2020,142194,2486
3/30/2020,163683,3073
3/31/2020,188049,3911
4/1/2020,214711,4841
4/2/2020,244423,6232
4/3/2020,276501,7121
4/4/2020,311536,8499
4/5/2020,336774,9655
4/6/2020,366238,10959
4/7/2020,397754,12956
4/8/2020,429319,14803
4/9/2020,463684,16674
4/10/2020,496912,18712
4/11/2020,528395,20575
4/12/2020,555325,22056
4/13/2020,580878,23607
4/14/2020,607318,26081
